NC_065570.1	0	50000	0	0	50000	0.0000000
NC_065570.1	50000	100000	0	0	50000	0.0000000
NC_065570.1	100000	150000	0	0	50000	0.0000000
NC_065570.1	150000	200000	3	208	50000	0.0041600
NC_065570.1	200000	250000	7	339	50000	0.0067800
NC_065570.1	250000	300000	1	60	50000	0.0012000
NC_065570.1	300000	350000	9	370	50000	0.0074000
NC_065570.1	350000	400000	10	460	50000	0.0092000
NC_065570.1	400000	450000	2	103	50000	0.0020600
NC_065570.1	450000	500000	4	236	50000	0.0047200
NC_065570.1	500000	550000	3	166	50000	0.0033200
NC_065570.1	550000	600000	4	181	50000	0.0036200
NC_065570.1	600000	650000	11	455	50000	0.0091000
NC_065570.1	650000	700000	12	628	50000	0.0125600
NC_065570.1	700000	750000	7	383	50000	0.0076600
NC_065570.1	750000	800000	3	132	50000	0.0026400
NC_065570.1	800000	850000	4	190	50000	0.0038000
NC_065570.1	850000	900000	6	254	50000	0.0050800
NC_065570.1	900000	950000	6	329	50000	0.0065800
NC_065570.1	950000	1000000	4	199	50000	0.0039800
NC_065570.1	1000000	1050000	4	208	50000	0.0041600
NC_065570.1	1050000	1100000	10	468	50000	0.0093600
NC_065570.1	1100000	1150000	7	376	50000	0.0075200
NC_065570.1	1150000	1200000	5	310	50000	0.0062000
NC_065570.1	1200000	1250000	5	262	50000	0.0052400
NC_065570.1	1250000	1300000	5	264	50000	0.0052800
NC_065570.1	1300000	1350000	7	415	50000	0.0083000
NC_065570.1	1350000	1400000	5	280	50000	0.0056000
NC_065570.1	1400000	1450000	14	688	50000	0.0137600
NC_065570.1	1450000	1500000	2	117	50000	0.0023400
NC_065570.1	1500000	1550000	2	121	50000	0.0024200
NC_065570.1	1550000	1600000	10	697	50000	0.0139400
NC_065570.1	1600000	1650000	8	369	50000	0.0073800
NC_065570.1	1650000	1700000	7	320	50000	0.0064000
NC_065570.1	1700000	1750000	4	186	50000	0.0037200
NC_065570.1	1750000	1800000	6	297	50000	0.0059400
NC_065570.1	1800000	1850000	14	707	50000	0.0141400
NC_065570.1	1850000	1900000	12	621	50000	0.0124200
NC_065570.1	1900000	1950000	6	337	50000	0.0067400
NC_065570.1	1950000	2000000	2	107	50000	0.0021400
NC_065570.1	2000000	2050000	13	758	50000	0.0151600
NC_065570.1	2050000	2100000	13	687	50000	0.0137400
NC_065570.1	2100000	2150000	7	378	50000	0.0075600
NC_065570.1	2150000	2200000	6	287	50000	0.0057400
NC_065570.1	2200000	2250000	12	572	50000	0.0114400
NC_065570.1	2250000	2300000	9	456	50000	0.0091200
NC_065570.1	2300000	2350000	5	223	50000	0.0044600
NC_065570.1	2350000	2400000	11	516	50000	0.0103200
NC_065570.1	2400000	2450000	3	176	50000	0.0035200
NC_065570.1	2450000	2500000	11	507	50000	0.0101400
NC_065570.1	2500000	2550000	4	125	50000	0.0025000
NC_065570.1	2550000	2600000	12	821	50000	0.0164200
NC_065570.1	2600000	2650000	6	327	50000	0.0065400
