psLayout version 3

match	mis- 	rep. 	N's	Q gap	Q gap	T gap	T gap	strand	Q        	Q   	Q    	Q  	T        	T   	T    	T  	block	blockSizes 	qStarts	 tStarts
     	match	match	   	count	bases	count	bases	      	name     	size	start	end	name     	size	start	end	count
---------------------------------------------------------------------------------------------------------------------------------------------------------------
81	0	0	0	0	0	0	0	+	OX359234.1	179650	159054	159135	trnL-CAA_STARTREF_NC_049111.1.genbank_ENDREF_STARTCMD_trna_ENDCMD_STARTKEY_272_ENDKEY	81	0	81	1	81,	159054,	0,
81	0	0	0	0	0	0	0	+	OX359234.1	179650	159054	159135	trnL-CAA_STARTREF_NC_049111.1.genbank_ENDREF_STARTCMD_trna_ENDCMD_STARTKEY_195_ENDKEY	81	0	81	1	81,	159054,	0,
71	1	0	0	0	0	0	0	+	OX359234.1	179650	144154	144226	trnN-GUU_STARTREF_NC_049111.1.genbank_ENDREF_STARTCMD_trna_ENDCMD_STARTKEY_249_ENDKEY	72	0	72	1	72,	144154,	0,
71	1	0	0	0	0	0	0	+	OX359234.1	179650	144154	144226	trnN-GUU_STARTREF_NC_049111.1.genbank_ENDREF_STARTCMD_trna_ENDCMD_STARTKEY_218_ENDKEY	72	0	72	1	72,	144154,	0,
71	1	0	0	0	0	0	0	+	OX359234.1	179650	144154	144226	trnN-GUU_STARTREF_NC_015141.1.genbank_ENDREF_STARTCMD_trna_ENDCMD_STARTKEY_179_ENDKEY	72	0	72	1	72,	144154,	0,
70	1	0	0	1	1	0	0	+	OX359234.1	179650	144154	144226	trnN-GTT_STARTREF_NC_045136.1.genbank_ENDREF_STARTCMD_trna_ENDCMD_STARTKEY_112_ENDKEY	71	0	71	2	12,59,	144154,144167,	0,12,
79	1	0	0	0	0	0	0	+	OX359234.1	179650	128248	128328	trnL-UAG_STARTREF_NC_049111.1.genbank_ENDREF_STARTCMD_trna_ENDCMD_STARTKEY_225_ENDKEY	80	0	80	1	80,	128248,	0,
74	0	0	0	0	0	0	0	+	OX359234.1	179650	121839	121913	trnR-ACG_STARTREF_NC_049111.1.genbank_ENDREF_STARTCMD_trna_ENDCMD_STARTKEY_251_ENDKEY	74	0	74	1	74,	121839,	0,
74	0	0	0	0	0	0	0	+	OX359234.1	179650	121839	121913	trnR-ACG_STARTREF_NC_049111.1.genbank_ENDREF_STARTCMD_trna_ENDCMD_STARTKEY_216_ENDKEY	74	0	74	1	74,	121839,	0,
116	5	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Zmays_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
120	1	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Vvinifera_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
120	1	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Stuberosum_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
120	1	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Soleracea_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
120	1	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Slycopersicum_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
116	5	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Shybrid_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
109	12	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Selaginella	121	0	121	1	121,	121481,	0,
116	5	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Sbicolor_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
120	1	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_STARTREF_NC_049111.1.genbank_ENDREF_STARTCMD_rrna_ENDCMD_STARTKEY_253_ENDKEY	121	0	121	1	121,	121481,	0,
120	1	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_STARTREF_NC_049111.1.genbank_ENDREF_STARTCMD_rrna_ENDCMD_STARTKEY_214_ENDKEY	121	0	121	1	121,	121481,	0,
121	0	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Rcommunis_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
121	0	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Ptrichocarpa_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
100	7	0	0	0	0	0	0	+	OX359234.1	179650	121495	121602	rrn5_Pthunbergii_GeSeq-SRS_v1	121	14	121	1	107,	121495,	14,
117	4	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Psativum_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
118	3	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Paphrodite_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
116	5	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Osativaja_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
120	1	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Oenothera	121	0	121	1	121,	121481,	0,
120	1	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Nundulata_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
120	1	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Ntomentosiformis_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
120	1	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Ntabacum_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
120	1	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Nsylvestris_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
117	4	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Mtruncatula_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
109	10	0	0	0	0	0	0	+	OX359234.1	179650	121483	121602	rrn5_Mpolymorpha_GeSeq-SRS_v1	119	0	119	1	119,	121483,	0,
119	2	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Ljaponicus_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
116	5	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Hvulgare_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
121	0	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Hevea	121	0	121	1	121,	121481,	0,
119	2	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Gmax_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
102	5	0	0	0	0	0	0	+	OX359234.1	179650	121495	121602	rrn5_Gbiloba_GeSeq-SRS_v1	119	12	119	1	107,	121495,	12,
119	2	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Eguineensis_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
116	5	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Bdistachyon_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
119	2	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Athaliana_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
108	11	0	0	0	0	0	0	+	OX359234.1	179650	121483	121602	rrn5_Anthoceros	119	0	119	1	119,	121483,	0,
108	13	0	0	0	0	0	0	+	OX359234.1	179650	121481	121602	rrn5_Acapillus-veneris_GeSeq-SRS_v1	121	0	121	1	121,	121481,	0,
